S/N,Authors/Year,Title,Framework,Dataset (Quantity and Source),Results,Gaps
*1.,"Baranwal, S., Khandelwal, S., & Arora, A. (2019, February).",Deep learning convolutional neural network for apple leaves disease detection.,Convolutional Neural Networks (CNN) framework for classifying and predicting Apple diseases observed.,,,
2,"Jiang, P., Chen, Y., Liu, B., He, D., & Liang, C. (2019).",Real-time detection of apple leaf diseases using deep learning approach based on improved convolutional neural networks.,"Convolutional Neural Networks (CNN) - proposed INAR-SSD framework for classifying and predicting Apple diseases: Alternaria leaf spot, Brown spot, Mosaic, Grey spot, and Rust.","A total of 2029 images of diseased apple leaves were collected from the laboratory, real apple field and Apple Experiment Station of Northwest A&F University in Baishui county, Shaanxi province, China. By applying an image processing technique, a total of 26,377 disease images were generated (Alternaria leaf spot -5343 images, Brown spot - 5655 images, Mosaic - 4875 images, Grey spot - 4810 images, and Rust - 5694 images). The datasets were split 75% for training and 25% for testing;","The Precision Accuracy values are:
Alternaria leaf spot (76%), Brown spot (80%), Mosaic (77%), Grey spot (71%), and Rust (92%).",The unbalanced datasets might have relatively impacted on the precision accuracy across these diseases.
3,"Bansal, P., Kumar, R., & Kumar, S. (2021).",Disease detection in apple leaves using deep convolutional neural network.,"An ensemble model (consisting of pre-trained DenseNet121, EfficientNetB7, and EfficientNet NoisyStudent) for classifying and predicting Apple diseases: cedar apple rust, multiple diseases, healthy leaves, and apple scab.","A total of 3642 images of apple leaves are distributed among four classes of diseases: cedar apple rust, multiple diseases, healthy leaves, and apple scab. The datasets were collected from the Plant Pathology and Plant-Microbe Biology Section of Cornell University. 85% of the images were used for training, and the rest 15% of the images were used for validation.","Precision Accuracy values: cedar apple rust (96%), multiple diseases (90%), healthy leaves (100%), and apple scab (93%).","The study focused on only four classes of the images. Hence, the model is limited in its prediction strength."
4,"Zhong, Y., & Zhao, M. (2020).",Research on deep learning in apple leaf disease recognition.,"Based on DenseNet-121 deep convolution network, three methods of regression, multi-label classification and focus loss function frameworks (compared to the single-label multi-classification method with cross entropy loss function) were proposed to classify and predict six apple leaf diseases:Healthy Apple, General Apple Scab, Serious Apple Scab, Apple Gray Spot, General Cedar Apple Rust and Serious Cedar Apple Rust.",Datasets collected from AI-Challenger-Plant-Disease-Recognition were de-duplicated to get a total of 2462 images.,"Precision accuracy: 

cross entropy loss function (less performance compared to three methods of regression, multi-label classification and focus loss function)
Healthy (98%)
General Apple Scab (67%)
Serious Apple Scab (75%)
Apple Gray Spot (98%)
General Cedar Apple Rust (89%)
Serious Cedar Apple Rust (71%), 

Loss function under 
Gamma=2.0
Healthy (99%)
General Apple Scab (76%)
Serious Apple Scab (76%)
Apple Gray Spot (94%)
General Cedar Apple Rust (86%)
Serious Cedar Apple Rust (67%), 

Loss function under 
Gamma=1.0
Healthy (98%)
General Apple Scab (70%)
Serious Apple Scab (81%)
Apple Gray Spot (97%)
General Cedar Apple Rust (87%)
and Serious Cedar Apple Rust (100%)

Loss function under 
Gamma=0.1
Healthy (99%)
General Apple Scab (72%)
Serious Apple Scab (81%)
Apple Gray Spot (95%)
General Cedar Apple Rust (91%)
and Serious Cedar Apple Rust (100%)

Regression Classification. Threshold 1.
Healthy (98%)
General Apple Scab (73%)
Serious Apple Scab (71%)
Apple Gray Spot (97%)
General Cedar Apple Rust (87%)
and Serious Cedar Apple Rust (100%)

Regression Classification. Threshold 2.
Healthy (98%)
General Apple Scab (76%)
Serious Apple Scab (74%)
Apple Gray Spot (98%)
General Cedar Apple Rust (90%)
and Serious Cedar Apple Rust (100%)

multi-label classification
Healthy (99%)
General Apple Scab (71%)
Serious Apple Scab (74%)
Apple Gray Spot (98%)
General Cedar Apple Rust (91%)
and Serious Cedar Apple Rust (86%)",N/A
*5.,"Bi, C., Wang, J., Duan, Y., Fu, B., Kang, J. R., & Shi, Y. (2022).",MobileNet based apple leaf diseases identification.,This is not relevant because it does not explicitly state the prediction across the diseases,,,
6,"Chao, X., Sun, G., Zhao, H., Li, M., & He, D. (2020).",Identification of apple tree leaf diseases based on deep learning models.,"Deep Convolutional Neural Network (DCNN) framework for classifying and predicting Apple Diseases: Alternaria leaf spot, Brown spot, Mosaic, Grey spot, Rust and Healthy.","A total of 2970 images were collected from laboratories and cultivation fields. The images increased to 24976 after data augmentation: Alternaria leaf spot (original dataset - 279 and augmentation - 2366), Brown spot (original dataset - 540 and augmentation - 4536), Mosaic (original dataset - 879 and augmentation - 7378), Grey spot (original dataset - 430 and augmentation - 3612), Rust (original dataset - 430 and augmentation - 3612), and Healthy (original dataset - 412 and augmentation - 3472).","The Precision Accuracy values: 
Alternaria leaf spot (96%), Brown spot (99%), Mosaic (100%), Grey spot (98%), Rust (99%) and Healthy (99%)",N/A
7,"Liu, B., Zhang, Y., He, D., & Li, Y. (2017).",Identification of apple leaf diseases based on deep convolutional neural networks.,"AlexNet framework for classifying and predicting Apple diseases: Mosaic, Rust, Brown spot, and Alternaria leaf spot.","A total of 13,689 images were collected in Qingyang County, Gansu Province, China and Baishui County, Shanxi Province, China: Alternaria leaf spot (Training - 3150 and Testing - 750), Mosaic (Training - 2513 and Testing - 763), Rust (Training - 1926 and Testing - 440), Brown Spot (Training - 3299 and Testing - 848)","Prediction accuracies: Alternaria leaf spot (91.87%), Mosaic (100%), Rust (99.32%) and Brown Spot (99.29%)",Datasets collected were limited due to the restriction of biological growth laws and the current season in which the apple leaves have fallen. This might have reduced the accuracy.
8,"Militante, S. V., Gerardo, B. D., & Dionisio, N. V. (2019, October).",Plant leaf detection and disease recognition using deep learning.,"CNN model for classifying and predicting diseases of apple, corn, grapes, potato, sugarcane, and tomato.","A total of 35,000 images of apple, corn, grapes, potato, sugarcane, and tomato (healthy plant leaves and infected with diseases). These datasets were collected from Plant Village.",Prediction accuracies: black rot disease of Apple (100%) and a healthy Apple leaf (100%),N/A
*9.,"Agarwal, M., Kaliyar, R. K., Singal, G., & Gupta, S. K. (2019, July).",FCNN-LDA: A Faster Convolution Neural Network model for Leaf Disease identification on Apple's leaf dataset.,No explicit explanation on how the model predicted Apple diseases individually.,,,
10,"Ahmed, A. A., & Reddy, G. H. (2021).",A mobile-based system for detecting plant leaf diseases using deep learning.,"Convolutional Neural networks (CNN) framework for classifying and predicting diseases for Apple, Tomatoes, Grape, Potatoes and other plants:","A total of 96,206 images of plant leaves of healthy and infected plants were collected from Kaggle, Plant Village and Google Web Scraper. The distribution of the datasets for Apple Diseases are: Apple scab (Training - 2016, Validation - 504 and Testing - 209), Apple Black rot (Training - 1987, Validation - 497 and Testing - 246), Apple Cedar apple rust (Training - 1760, Validation - 440 and Testing - 220) and Apple healthy (Training - 2008, Validation - 502 and Testing - 187)","Precision Accuracy values:
Apple scab (95%), Apple Black rot (93%), Apple Cedar apple rust (98%) and Apple healthy (97%).",N/A
*11.,"Francis, M., & Deisy, C. (2019, March).",Disease detection and classification in agricultural plants using convolutional neural networks—a visual understanding.,No explicit analysis on the different diseases related to Apple and Tomatoes observed,,,
*12.,"Ferentinos, K. P. (2018).",Deep learning models for plant disease detection and diagnosis.,No explicit analysis on the different diseases related to Apple and other plants observed,,,
*13.,"Yu, H. J., & Son, C. H. (2019).",Apple leaf disease identification through region-of-interest-aware deep convolutional neural network.,No explicit analysis on the different diseases related to Apple plants observed,,,
14,"Chakraborty, S., Paul, S., & Rahat-uz-Zaman, M. (2021, January).",Prediction of apple leaf diseases using multiclass support vector machine.,"Multiclass SVM framework to classify and predict Apple diseases: Black Rot, Cedar Apple Rust and Healthy apple leaves.",A total of 500 datasets were collected from : 329 images were classified as diseased (Black Rot and Cedar Apple Rust) and 171 images are healthy apple leaves. The training datasets were 325 images and 175 images were used for testing.,"Precision Accuracy values:

Black Rot (93%), Cedar Apple Rust (97%) and Healthy apple leaves (98%).",The distribution of disease across datasets Black Rot and Cedar Apple Rust not provided. The limited datasets for the study might not make the model generalizable.
*15.,"Chohan, M., Khan, A., Chohan, R., Katpar, S. H., & Mahar, M. S. (2020).",Plant disease detection using deep learning.,No explicit analysis on the different diseases related to Apple plants observed,,,
16,"Yu, H., Cheng, X., Chen, C., Heidari, A. A., Liu, J., Cai, Z., & Chen, H. (2022).",Apple leaf disease recognition method with improved residual network.,"MSO-ResNet (multistep optimization ResNet) framework for classifying and predicting Apple diseases: Powdery mildew, Alternaria leaf spot, scab, rust, Alternaria leaf spot and rust, and healthy.","A total of 11,397 images were collected from Kaggle..The datasets were split 80% training (9118 images) and 20% testing (2279 images)","Precision Accuracy Values:
Powdery mildew (97%)
Alternaria leaf spot (97%), scab (95%), rust (96%), Alternaria leaf spot and rust (93%), and healthy (93%).","Datasets not well refined to cater for the characteristics of spots in different stages of diseases which likely affect the model’s performance. Also, the size and the speed are relatively large and slow."
*17.,"Tian, Y., Yang, G., Wang, Z., Li, E., & Liang, Z. (2019).",Detection of apple lesions in orchards based on deep learning methods of cyclegan and yolov3-dense.,No explicit analysis on the different diseases related to Apple plants observed,,,
18,"Sun, H., Xu, H., Liu, B., He, D., He, J., Zhang, H., & Geng, N. (2021).",MEAN-SSD: A novel real-time detector for apple leaf diseases using improved light-weight convolutional neural networks.,"CNN framework (MEAN-SSD(Mobile End AppleNet based SSD algorithm) for classifying and predicting Apple diseases: 
Alternaria blotch, Brown spot, Mosaic, Grey spot, and Rust. Datasets were collected from BaiShui experimental apple station, LuoChuan experimental apple station and QingCheng experimental apple station in Northwest A&F University.","A total of 2,230 apple leaf disease images were originally collected. These images were increased through data augmentation to 26,767 images: Alternaria blotch (Training - 2832, Validation - 944 and Testing - 944); Brown spot (Training - 3324, Validation - 1104 and Testing - 1104);
Gray spot
(Training - 3230, Validation - 1075 and Testing - 1075); Mosaic (Training - 3155, Validation - 1005 and Testing - 1005) and Rust (Training - 3560, Validation - 1205 and Testing - 1205)","Precision Accuracy values:
Alternaria blotch (99%); Brown spot (98%);Gray spot (97%); Mosaic (96%) and Rust (98%)","The technique used still required a significant amount of human effort for annotation. Though there was a repeated verification of the annotation process, this slows down the classification task."
19,"Yan, Q., Yang, B., Wang, W., Wang, B., Chen, P., & Zhang, J. (2020).",Apple leaf diseases recognition based on an improved convolutional neural network.,"An improved convolution neural network (CNN) model based on VGG16 for classifying and predicting Apple diseases: Scab, frogeye spot, and cedar rust.","A total of 2446 pictures were collected from the the “2008 ‘AI Challenger’ Global Challenge” dataset, where 1340 of them are healthy (Training - 1172 and Testing - 168 ), 411 are scab (Training - 360 and Testing - 51), 487 are frogeye spot (Training - 427 and Testing - 60), and 208 are cedar rust (Training - 182 and Testing - 26)","The Precision Accuracy values:

Healthy: 99%
Scab: 98%
Frogeye Spot: 100%
Cedar rust: 100%",N/A
20,"Omrani, E., Khoshnevisan, B., Shamshirband, S., Saboohi, H., Anuar, N. B., & Nasir, M. H. N. M. (2014).",Potential of radial basis function-based support vector regression for apple disease detection.,"Artificial Neural Networks (ANNs), Support Vector machines (SVMs) and Support Vector Regression Polynomial-based (SVR_Poly) to classify and predict Apple diseases: Apple leaf miner pest, Apple black spot, and Alternaria spot.","A total of 320 samples of three classes of leaves from Apple leaf miner pest (62), Apple black spot (160) and Alternaria (98) were collected from an agricultural research institution at University of Tehran.","Prediction accuracies:

ANN
Apple leaf miner pest (52%) 
Apple black spot (54%)
Alternaria spot (65%).

SVM
Apple leaf miner pest (99%) 
Apple black spot (100%)
Alternaria spot (100%).

SVR-poly
Apple leaf miner pest (93%) 
Apple black spot (54%)
Alternaria spot (66%).",Generalization based on the small sample datasets is the limitation of the three models. There would be a need to extend the datasets and retest.
