S/N,Authors/Year,Title,Framework,Dataset (Quantity and Source),Results,Gaps
1,"Sarangdhar, A. A., & Pawar, V. R. (2017, April).",Machine learning regression technique for cotton leaf disease detection and controlling using IoT.,"Support Vector Machine based regression system for classifying and predicting five cotton leaf diseases and healthy leaf: Bacterial Blight, Alternaria, Grey Mildew, Cercospora, and Fusarium wilt.",A total of 900 images were collected from Buldhana district: 629 images were used for training the model and 271 images were used for testing.,"Precision Accuracy values::
Bacterial Blight (86%), Alternaria (85%), Cercospora (83%), Grey Mildew (84%), Fusarium Wilt (82%) and Healthy leaf (80%).","Limited number of datasets could have made an impact on the accuracy values. There would be a need to expand on the number of datasets to improve the model’s precision accuracy values. Moreso, the distribution of the datasets by disease was not specified in the paper."
*2.,"Zekiwos, M., & Bruck, A. (2021).",Deep learning-based image processing for cotton leaf disease and pest diagnosis.,No explicit analysis on the different diseases related to the Cotton plants observed,,,
3,"Zhang, Y., Ma, B., Hu, Y., Li, C., & Li, Y. (2022).",Accurate cotton diseases and pests detection in complex background based on an improved YOLOX model.,"YOLOX ((You Only Look Once X-series) framework to classify and predict five cotton diseases: verticillium wilt, red leaf blight, cotton spider mite damage, brown spot disease and double-spotted leaf beetle damage","A total of 5760 images of cotton diseases were collected from an experimental cotton field at Shihezi University, Xinjiang, China: verticillium wilt (Training - 840, Validation - 240 and Testing - 120), Red leaf blight (Training - 980, Validation - 280 and Testing - 140)
Cotton spider mite damage (Training - 812, Validation - 232 and Testing - 116), Brown spot disease (Training - 700, Validation - 200 and Testing - 100) and Double-spotted leaf beetle damage (Training - 700, Validation - 200 and Testing - 100).","Precision Accuracy values: Verticillium wilt (95%), Red leaf blight (95%), Cotton spider mite damage (93%), Brown spot disease (94%) and Double-spotted leaf beetle damage (90%)","The unbalanced datasets across the 5 cotton diseases may have impacted on how the accuracies were higher for those with more datasets compared to those with less datasets. Moreso, there was reportedly a lower resolution for the smaller datasets.

It was reported that the Doublespotted leaf beetle damage easily occurred at the leaf edge with properties of the foreground and background color having an earthen-yellow color which made it difficult to detect on the model. This likely suggest why its accuracy dropped compared to the other diseases."
4,"Chen, P., Xiao, Q., Zhang, J., Xie, C., & Wang, B. (2020).",Occurrence prediction of cotton pests and diseases by bidirectional long short-term memory networks with climate and atmosphere circulation.,"Bi-directional RNN with bi-directional long short-term memory (Bi-LSTM) framework for classifying and predicting 8 cotton diseases: Bollworm, Aphid, Jassid, Thrips, Whitefly, Spodoptera, Mealybug/Mirid Bug and LeafBlight/LeafSpot","A total of 15,343 cotton images were collected from 6 locations in India: Akola (2028), Coimbatore (208), Lam (5265), Nagpur (3328), Parbhani (2644) and Sirsa (1870). The cotton images collected were distributed across 8 diseases: Bollworm (7183), Aphid (1032), Jassid (1974), Thrips (832), Whitefly (1508), Spodoptera (630), Mealybug/Miridbug (260) and LeafBlight/LeafSpot (1924)","Precision Accuracy values: Bollworm (87%), Aphid (83%), Jassid (89%), Thrips (84%), Whitefly (86%), Spodoptera (84%), Mealybug/Mirid Bug (dataset too small so accuracy was ignored and was not reported) and LeafBlight/LeafSpot (92%)",Datasets collected have limited features to improve the generalizability of the model. There would be a need to increase the number of datasets and features collected to test in future work.
*5.,"Kang, X., Huang, C., Zhang, L., Yang, M., Zhang, Z., & Lyu, X. (2022).",Assessing the severity of cotton Verticillium wilt disease from in situ canopy images and spectra using convolutional neural networks.,No explicit analysis was provided based on the severity of the cotton disease: Verticillium wilt as required for the purpose of our analysis,,,
6,"Priya, D. (2021).",Cotton leaf disease detection using Faster R-CNN with Region Proposal Network.,"Faster R-CNN (Region- Convolutional Neural Network) with Region Proposal Network (RPN) for classifying and predicting 4 classes of cotton diseases: healthy leaves, Bacterial blight diseases, yellow leaf curl virus and late blight diseases.",A total of 4000 datasets were collected from PlantVillage.,"Precision Accuracy values: healthy leaves (96%), Bacterial blight diseases (94%), yellow leaf curl virus (95%) and late blight diseases (95%)",There is a need to understand how datasets are distributed across the four classes of diseases examined.
*7.,"Kumar, S., Musharaf, D., & Sagar, A. K. (2022).",Comparative Study of Pre-trained Models on Cotton Plant Disease Detection Using Transfer Learning.,No explicit analysis on the different diseases related to the Cotton plants observed,,,
*8.,"Lakshmi, G. V., Ramesh, A., Teja, Y. S., Reddy, M. N., & Rakesh, G. (2021).",An efficient framework for disease detection and classification in cotton plants.,No explicit analysis on the different diseases related to the Cotton plants observed,,,
9,"Borugadda, P., Lakshmi, R., & Govindu, S. (2021).",Classification of Cotton Leaf Diseases Using AlexNet and Machine Learning Models.,"Prosing AlexNet framework compared to AdaBoost Classifier (ABC), Decision Tree Classifier (DTC), Gradient Boosting Classifier (GBC). K Nearest Neighbor (KNN), Logistic Regression (LR), Random Forest Classifier (RFC), and Support Vector Classifier (SVC) for classifying and predicting 4 classes of cotton: Diseased cotton leaf, Diseased cotton plant, Fresh cotton leaf and Fresh cotton plant","A total of 2,275 datasets were collected from Kaggle. Training datasets constituted 1951 images (Diseased cotton leaf -288, Diseased cotton plant - 815, Fresh cotton leaf - 427 and Fresh cotton plant - 421) and validation datasets were 324 (Diseased cotton leaf - 55, Diseased cotton plant - 101, Fresh cotton leaf - 80 and Fresh cotton plant - 88)","Precision Accuracy values: 
Diseased cotton leaf (93%), Diseased cotton plant (91%), Fresh cotton leaf (99%) and Fresh cotton plant (98%)",The imbalanced dataset might have an impact on the accuracy of the prediction across each class of disease.
10,"Bernardes, A. A., Rogeri, J. G., Oliveira, R. B., Marranghello, N., Pereira, A. S., Araujo, A. F., & Tavares, J. M. R. (2013).",Identification of foliar diseases in cotton crop.,"Support Vector Machine framework for classifying and predicting cotton diseases: healthy (SA), Ramularia disease (RA), Bacterial Blight (BA) and Ascochyta Blight (AS),","Two sets of data were collected which amount to a total of 420 images
1. Collected from Dr. Nelson Suassuna, phytopathologist, researcher at Embrapa Cotton, in Campina Grande, Brazil.
2.Collected from the site ‘‘Forestry Images’’: SA (Training: 105 and Testing: 105); RA (Training: 35 and Testing: 35); BA (Training: 35 and Testing: 35) and AS (Training: 35 and Testing: 35)","Precision Accuracy values: SA (96.2 %), RA (80.0 %), BA (97.1 %) and AS (71.4 %)","Considering that small number of datasets were available to test the model, it is better to improve the model by increasing the number of datasets for all the classes of diseases covered."
