S/N,Authors/Year,Title,Framework,Dataset (Quantity and Source),Results,Gaps
*1.,"Chakraborty, K. K., Mukherjee, R., Chakroborty, C., & Bora, K. (2022)",Automated recognition of optical image based potato leaf blight diseases using deep learning,There was no prediction analysis on how the best model performed in detecting the three classes.,,,
2,"Yang, Y., Liu, Z., Huang, M., Zhu, Q., & Zhao, X. (2023).",Automatic detection of multi-type defects on potatoes using multispectral imaging combined with a deep learning model,"MDDNet model compared to deep learning models, YOLO-v5x, YOLOv3-tiny, and DY2TNet models for classifying and predicting Potato defects (germinations, scab, bug-eye, dry-rot, and bruise)","The datasets were collected by researchers from the field (China). The dataset consists of: 118 germinations, 219 common scabs, 59 bug-eyes, 83 dry-rots, and 80 bruises.","Precision Accuracy Values:
Germinations (94%)
Common scab (94%)
Bug-eye (90%)
Dry-rot (91%)
Bruises (92%)",There were discrepancies in the datasets reported by the paper. It is not certain what the actual total of the datasets was collected.
*3.,"Oishi, Y., Habaragamuwa, H., Zhang, Y., Sugiura, R., Asano, K., Akai, K., ... & Fujimoto, T. (2021).",Automated abnormal potato plant detection system using deep learning models and portable video cameras.,Predictions were more focused on the quality of the datasets used for the prediction rather than on the model.,,,
4,"Eser, S. E. R. T. (2021).",A deep learning based approach for the detection of diseases in pepper and potato leaves,"Faster R-CNN (Region-Convolutional Neural Network
) framework for classifying and predicting Potato diseases: (Potato Early Blight, Potato Late_Blight and Potato Healthy)
and Pepper disease","Datasets collected were in 2 batches:

Batch 1:
Originally, 544 datasets were collected from the Plant Village dataset. After transforming the datasets, 2176 images were collected: Pepper Bell Bacterial Spot(460), Pepper Bell Healthy (671), Potato Early Blight (448), Potato Healthy (115) and Potato Late Blight species (482).

Batch 2:
A total of 6023 pepper and potato leaf images were obtained by combining datasets captured on the field of Malatya and those obtained from the Plant Village dataset. A total of 4627 images from Batch 2 datasets were included in the training and validation process of AlexNet, GoogleNet and SequeezeNet (for the Faster R-CNN model): 3239 images (70%) were used for the training process (Pepper Bell Bacterial Spot - 698, Pepper Bell Healthy - 1035, Potato Early Blight - 700, Potato Healthy - 106 and Potato Late Blight - 700.), while 1388 images (30%) were used for the validation process (Pepper Bell Bacterial Spot - 299, Pepper Bell Healthy - 443, Potato Early Blight - 300, Potato Healthy - 46 and Potato Late Blight - 300) and","Precision Accuracy Values:

Potato Early Blight (99.5%), 

Potato Healthy (99.14%) 

Potato Late Blight (98.92%).","It was not explicit how they arrived at 6048 datasets and the 4628. Given that they specified 6023 and 4627 images for batch 2. Hence, arriving at 1420 images for testing the model Pepper Bell Bacterial Spot - 310, Pepper Bell Healthy - 447, Potato Early Blight - 312, Potato Healthy - 41 and Potato Late Blight - 310."
5,"Islam, F., Hoq, M. N., & Rahman, C. M. (2019, November).",Application of transfer learning to detect potato disease from leaf image.,The confusion matrix shown was for a CNN model. The paper did not specify how the accuracies varied for VGG16.,,,
6,"Asif, M. K. R., Rahman, M. A., & Hena, M. H. (2020, December).","CNN based Disease Detection Approach on Potato
Leaves","CNN model Sequential model 
was proposed compared to VggNet, ResNet and LeNet for classifying and predicting Potato diseases: early blight, healthy & late blight.","Initially, 3000 images were collected from Kaggle and captured from the field by the researchers. Some of the datasets were selected for training: early blight (500), healthy (500) & late blight (500), and testing: early blight (300), healthy (300) & late blight (300).","Precision Accuracy Values:
Early Blight (90%)
Late Blight (80%)
Healthy (79%)","The dataset used for this analysis is not reasonably safe: The resolution of certain images were too low, some are hardly detected as affected and unaffected"
7,"Barman, U., Sahu, D., Barman, G. G., & Das, J. (2020, July)","Comparative Assessment of Deep Learning to
Detect the Leaf Diseases of Potato based on Data
Augmentation","A Self-Build CNN (SBCNN) for potato
disease detection: early blight, healthy & late blight.","A total of 2152 images were collected from the plant village dataset: Early blight(1,000), Late Blight (1,000) and Potato Healthy (152). The Augmentation method was applied to the Healthy potato and the sample increased to 1030.","Precision Accuracy Values:
Early Blight (98%)
Late Blight (94%)
Healthy (98%)",N/A
8,"Rashid, J., Khan, I., Ali, G., Almotiri, S. H., AlGhamdi, M. A., & Masood, K. (2021).","Multi-Level Deep Learning Model for Potato Leaf
Disease Recognition","Potato Leaf Disease Detection using Convolutional Neural Network (PDDCNN)for classifying and predicting potato diseases: Early Blight, Late Blight and Healthy Potato.",The potato leaf disease dataset contains 4062 images collected from the Central Punjab region of Pakistan,"Precision Accuracy Values with data augmentation:
Early Blight (100%)
Late Blight (100%)
Healthy (99%)",The model is not able to detect multiple diseases on a single leaf and also can not localize the disease.
*9.,"Polder, G., Blok, P. M., De Villiers, H. A., Van der Wolf, J. M., & Kamp, J. (2019).","Potato Virus Y Detection in Seed
Potatoes Using Deep Learning on
Hyperspectral Images",There was no explicit discussion about the methodology.,,,
10,"Sholihati, R. A., Sulistijono, I. A., Risnumawan, A., & Kusumawati, E. (2020, September)","Potato Leaf Disease Classification
Using Deep Learning Approach","A deep learning using the VGG16 and VGG19 convolutional neural network architecture model were used for classifying and predicting Potato diseases: Alternaria Solani, Healthy, Phytophthora Infestant, Virus and Insect","A total of 5,100 datasets were collected by authors from different sources: a
potato plantation in Malang, Indonesia, PlantVillage an
open-access image database, and Google images.","Precision Accuracy Values:

VGG16
Alternaria Solani (99%)
Healthy (87%)
Phytophthora Infestant (98%)
Virus (81%)
Insect (77%)


VGG19
Alternaria Solani (95%)
Healthy (85%)
Phytophthora Infestant (97%)
Virus (84%)
Insect (85%)",N/A
